Year,Countries,Cases,Deaths,Serotypes,Number of Serotypes,Sero1,Sero2,Sero3,Sero4,Dominent_Sero,Pop,PerMillion,PopPerHTh,CasesPerM,DeathsPerM,CasesPerTh,CFR (%),Death(CFR (%)),Population Growth,Median age,Fertility rate,Age: 65+,Age: 25-64,Age: 15-24,Age: 5-14,Age: 0-4,Total dependency ratio,Child dependency ratio,Old-age dependency ratio,Sex ratio at birth,life expectancy,Child mortality,Human Development Index,GDP per capita,Urban population,Rural population,"Current health expenditure per capita, PPP (current international $)",Out-of-pocket expenditure (% of current health expenditure),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Prevalence of obesity among adults, BMI >= 30 (crude estimate) (%) - Sex: both sexes - Age group: 18+  years",Concentrations of fine particulate matter (PM2.5) - Residence area type: Total,DTP3 (% of one-year-olds immunized),Temperature anomaly,Annual COâ‚‚ emissions (per capita),Access to electricity (% of population),Gini coefficient (before tax) (World Inequality Database),Official development assistance (ODA) by recipient (Official donors),Taxes including social contributions (as a share of GDP),Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Total number of emigrants,The totalpopulation not using improved sanitation facilities,Scientific and technical journal articles per million people,Number of Internet users,Annual Avg Temp,Annual Total Rainfall
2006,Bhutan,480,2,3,1,No,No,Yes,No,DENV3,"635,000",0.635,6.35,755.9055118,3.149606299,75.59055118,0.42,2 (0),670800,21.503,2.66,32074,267796,153847,150630,66446,59.090275,51.483364,7.6069093,104.80828,66.3617,2.66,0.582,5949.7734,213504,459756,179.07033,14.791034,2.04339,3.1,29.51405,95,0.3096773,0.61940074,59.673264,0.6104917,102020000,9.940846,86.44687,120319,244265.47,25.814194,30421,7.81,864.84
2007,Bhutan,86,0,"2,3",2,No,Yes,Yes,No,DENV3,"635,000",0.635,6.35,135.4330709,0,13.54330709,0,0,678643,21.866,2.589,32933,275664,155702,148082,66255,57.32255,49.68797,7.634584,105.332504,66.9537,2.589,0.582,6955.8916,221313,460301,194.45665,14.336646,2.04339,3.3,29.51405,95,0.26190436,0.585265,71.8,0.57457525,61200000,8.569164,87.581894,120319,234852.61,12.5875845,40352,7.68,1001.95
2008,Bhutan,73,0,,0,No,No,No,No,,"635,000",0.635,6.35,114.9606299,0,11.49606299,0,0,686359,22.233,2.481,33859,283599,157405,145591,65898,55.63396,47.956253,7.677708,105.95711,67.4991,2.481,0.582,7203.886,229241,460496,175.82039,15.474247,2.04339,3.5,29.51405,96,0.053872753,0.9417083,67.5533,0.57457525,63610000,9.172683,88.69317,120319,225247.19,9.6268015,45178,7.44,986.13
2009,Bhutan,351,0,,0,No,No,No,No,,"635,000",0.635,6.35,552.7559055,0,55.27559055,0,0,693995,22.603,2.364,34841,291578,158760,143505,65304,54.103806,46.367172,7.7366333,106.7261,67.897,2.364,0.582,7602.5,237280,460398,195.12381,16.581089,2.04339,3.7,29.51405,93,0.55529183,0.9788788,71.51531,0.57457525,65250000,10.120126,89.7527,120319,215493.72,16.554821,50024,7.77,1033.59
2010,Bhutan,874,0,,0,No,No,No,No,,"635,000",0.635,6.35,1376.377953,0,137.6377953,0,0,701639,22.977,2.252,35888,299634,159678,141948,64485,52.757385,44.94396,7.813425,107.52052,68.4298,2.252,0.582,8416.137,245470,460046,213.38445,16.482634,0.67886,4,29.51405,91,0.687172,1.2904984,73.28291,0.57457525,85000000,14.636238,87.72219,91934,205630.95,26.632727,95951,7.82,1175.98
2011,Bhutan,712,0,,0,No,No,No,No,,"635,000",0.635,6.35,1121.259843,0,112.1259843,0,0,709387,23.353,2.155,36977,307864,160098,140759,63683,51.589447,43.687737,7.90171,108.14876,68.881,2.155,0.591,8988.4,253839,459492,220.08667,16.343927,0.67886,4.2,29.08522,95,-0.011413966,1.4617691,81.78116,0.57457525,104180000,14.959655,86.98805,91934,195696.67,23.957787,102721,7.27,991.41
2012,Bhutan,1101,0,"1,2,3",3,Yes,Yes,Yes,No,DENV1,"635,000",0.635,6.35,1733.858268,0,173.3858268,0,0,717288,23.733,2.068,38089,316384,159825,139766,63218,50.62336,42.62498,7.9983788,108.417564,69.3261,2.068,0.597,9346.083,262288,458857,260.65796,20.506405,0.67886,4.5,30.02531,97,-0.1384654,1.6543369,91.5,0.5784914,144910000,16.115685,96.28522,91934,185734.3,22.491728,112500,7.17,996.68
2013,Bhutan,111,0,"1,2,3",3,Yes,Yes,Yes,No,DENV1,"635,000",0.635,6.35,174.8031496,0,17.48031496,0,0,725283,24.12,2,39247,325308,158736,138942,63042,49.836586,41.72844,8.108148,108.35836,69.7072,2,0.604,9442.816,270775,458114,277.8319,20.313904,0.67886,4.8,30.6965,97,0.1857924,1.8253992,87.42046,0.5784914,130229990,15.319638,81.69123,91934,175735.4,37.31661,163273,7.63,1054.69
2014,Bhutan,0,0,,0,No,No,No,No,,"635,000",0.635,6.35,0,0,0,0,0,733151,24.521,1.923,40443,334633,157042,138210,62813,49.110897,40.88534,8.225555,108.385994,70.0486,1.923,0.615,9886.98,279212,457145,283.66293,21.17123,0.67886,5.1,29.72429,99,0.223998,1.8922364,91.3926,0.5784914,126530000,14.562643,77.207504,91934,165662.8,38.513668,223118,7.83,938.67
2015,Bhutan,0,0,,0,No,No,No,No,,"635,000",0.635,6.35,0,0,0,0,0,740624,24.942,1.835,41714,344207,155060,137524,62110,48.340466,39.98542,8.355048,109.03884,70.3433,1.835,0.625,10445.576,287484,455790,333.13916,19.794657,0.32406,5.5,29.04297,99,0.03738169,2.005328,95.359764,0.5784914,105680000,14.09044,78.58958,51391,155475.61,33.836327,295827,8.1,965.04
2016,Bhutan,550,0,"1,2",2,Yes,Yes,No,No,DENV2,"726,596",0.726596,7.26596,756.954346,0,75.6954346,0,0,747878,25.376,1.738,43094,353871,152997,136921,60987,47.54729,39.045273,8.502016,111.05743,70.6022,1.738,0.635,11196.7705,295616,454145,346.7809,20.129696,0.32406,5.8,27.62854,98,0.844166,2.1720133,99.32278,0.5784914,51840000,13.915841,78.75068,51391,145227.4,54.67054,313196,8.37,1218.16
2017,Bhutan,87,0,"1,2",2,Yes,Yes,No,No,DENV1,"727,145",0.727145,7.27145,119.6460128,0,11.96460128,0,0,754343,25.88,1.621,44023,364632,150915,135819,58945,46.31721,37.778126,8.539085,108.606316,70.8472,1.621,0.644,11619.064,303711,452410,350.52368,13.306466,0.32406,5.8,26.49072,98,0.72425073,2.2689612,97.7,0.54890686,122430000,13.268918,78.91529,51391,134994.88,60.902225,349332,8.19,1244.53
2018,Bhutan,28,0,"1,2",2,Yes,Yes,No,No,DENV1,"734,374",0.734374,7.34374,38.12771149,0,3.812771149,0,0,759767,26.461,1.517,44567,376268,148963,133997,55962,44.651974,36.16675,8.485219,104.41784,71.1286,1.517,0.655,11931.663,311659,450437,364.374,13.163805,0.32406,5.8,28.72968,97,0.19156735,2.282355,99.95767,0.54890686,108410000,17.21909,79.08486,51391,124742.52,68.66517,377241,7.78,1133.79
2019,Bhutan,3309,6,"1,2,3",3,Yes,Yes,Yes,No,DENV1,"741,672",0.741672,7.41672,4461.540951,8.089829466,446.1540951,0.18,6 (0),764829,27.055,1.448,45330,387372,147308,131784,53024,43.042194,34.564224,8.477968,104.42191,71.3909,1.448,0.668,12530.171,319355,448104,429.18362,17.79043,0.19989,5.8,26.09506,97,0.19900598,2.1167855,100,0.54890686,182260000,16.284504,85.1431,51391,114454.1,69.87923,410595,7.69,1313.09
2020,Bhutan,16,0,,0,No,No,No,No,,"748,931",0.748931,7.48931,21.36378385,0,2.136378385,0,0,770014,27.647,1.502,46334,397813,145880,129112,50863,41.62441,33.10232,8.522089,104.4297,71.6094,1.502,0.675,11176.29,326894,445612,495.91943,15.424659,0.19989,5.8,26.09506,95,0.27548882,1.6236964,100,0.54890686,203040000,12.916327,87.6028,51998,104197.36,103.11814,413294,7.59,1671.68
2021,Bhutan,5,0,,0,No,No,No,No,,"756,129",0.756129,7.56129,6.612628268,0,0.661262827,0,0,775451,28.23,1.488,47504,407577,144563,126460,49335,40.44246,31.838844,8.603615,104.42127,71.815,1.488,0.677,11176.29,334381,443105,495.91943,15.424659,0.19989,5.8,26.09506,98,0.71716833,2.0579352,100,0.54890686,121880000,11.7999935,89.329926,51998,94013.695,103.11814,413294,7.98,1179.22
2022,Bhutan,0,0,,0,No,No,No,No,,"756,129",0.756129,7.56129,0,0,0,0,0,780920,28.81,1.478,48767,416815,143220,123696,48410,39.43914,30.731293,8.707849,104.43381,71.815,1.478,0.681,11176.29,341823,440632,495.91943,15.424659,0.19989,5.8,26.09506,98,0.58081293,2.0940826,100,0.6104917,194370000,11.7999935,87.42073,51998,94314.51,103.11814,413294,8.18,1485.83
2023,Bhutan,0,0,,0,No,No,No,No,,"756,129",0.756129,7.56129,0,0,0,0,0,786387,29.388,1.462,50075,425749,141781,120441,48329,38.56096,29.737635,8.823322,104.43935,71.815,1.462,0.681,11176.29,341823,440632,495.91943,15.424659,0.19989,5.8,26.09506,98,0.74490166,2.1783931,100,0.6104917,194370000,11.7999935,87.42073,51998,94314.51,103.11814,413294,8.18,1485.83
2000,India,1000,10,"1,2,3",3,Yes,Yes,Yes,No,DENV3,"846,421,000",846.421,"8,464",1.181445167,0.011814452,0.118144517,1,10 (1),1057922728,21.192,3.35,46651167,429676593,205461380,244280020,131844128,66.56432,59.21928,7.3450446,109.24282,62.6693,3.35,0.49,2753.0854,293168849,766464826,85.79252,71.70203,1.97474,1.5,55.16824,58,-0.22410996,0.93243545,60.29284,0.6104917,1767430000,13.982328,37.060966,7928051,853079040,20.204134,5589912,27.08,743.55
2001,India,3306,53,"1,2,3",3,Yes,Yes,Yes,No,DENV3,"1,028,737,000",1028.737,"10,287",3.213649358,0.051519485,0.321364936,1.6,53 (1.6),1077898572,21.373,3.303,48078351,440809611,209940646,246257610,132802584,65.63786,58.249718,7.3881416,109.15125,63.0913,3.303,0.495,2837.8555,301227098,777743809,95.35329,74.10621,1.97474,1.6,55.16824,59,-0.1476841,0.92821974,62.00544,0.6104917,2340889900,13.347567,37.354042,7928051,832868030,20.883741,7122787,26.99,943.95
2002,India,1926,33,"1,2,3",3,Yes,Yes,Yes,No,DENV3,"1,028,737,000",1028.737,"10,287",1.872198628,0.03207817,0.187219863,1.71,33 (1.71),1097600381,21.566,3.217,49560627,451990800,214290746,248034588,133713580,64.73371,57.295322,7.438391,108.94987,63.616,3.217,0.501,2870.9236,310207535,788105504,98.251465,73.37396,1.97474,1.7,55.16824,59,0.21565723,0.94036025,62.3,0.6104917,2258990000,13.884332,37.669014,7928051,811006340,22.137075,16890688,27.68,864.84
2003,India,12754,215,"1,2,3",3,Yes,Yes,Yes,No,DENV3,"1,028,737,000",1028.737,"10,287",12.39772653,0.208994136,1.239772653,1.69,215 (1.69),1116802997,21.775,3.122,51065148,463184278,218474596,249754954,134313674,63.834534,56.34323,7.4913054,108.97143,64.0942,3.122,0.514,3035.9226,319267849,798147274,100.29992,73.42475,1.97474,1.8,55.16824,61,-0.042418163,0.95606565,65.41201,0.6104917,651260000,14.620434,38.00422,7928051,787834500,24.001678,18845094,27.19,1070.51
2004,India,4153,45,"1,2,3",3,Yes,Yes,Yes,No,DENV3,"1,028,737,000",1028.737,"10,287",4.036989046,0.043742959,0.403698905,1.08,45 (1.08),1135991510,22.003,3.046,52540434,474865138,222564044,251413872,134597232,62.881157,55.347713,7.5334435,109.14771,64.5244,3.046,0.523,3212.511,328414552,807850031,107.92356,72.48267,1.97474,1.9,55.16824,63,0.001837254,0.9980951,64.4,0.6104917,960380000,15.670544,38.364292,7928051,763371260,25.328213,22454138,27.25,675
2005,India,11985,157,"1,2,3",3,Yes,Yes,Yes,No,DENV3,"1,028,737,000",1028.737,"10,287",11.65020797,0.152614322,1.165020797,1.31,157 (1.31),1154676319,22.244,2.958,53965985,486955305,226212108,253178130,134353408,61.906574,54.33949,7.5670853,109.21339,64.9955,2.958,0.532,3396.6487,337558628,817080085,113.15194,73.14937,2.38698,2,55.16824,65,-0.076594986,1.034569,68.840454,0.5561975,2100129900,16.372126,38.74817,9588533,737521660,28.480831,27573640,26.8,1096.88
2006,India,12317,184,"1,2,3",3,Yes,Yes,Yes,No,DENV3,"1,028,737,000",1028.737,"10,287",11.9729338,0.178860097,1.19729338,1.49,184 (1.49),1172878890,22.501,2.867,55370076,499447379,229490394,255117276,133441684,60.900814,53.304817,7.595995,109.1847,65.4123,2.867,0.541,3629.4111,346659205,825714583,118.07908,72.25708,2.38698,2.1,55.16824,65,0.17456198,1.1019762,67.9,0.5561975,1523720000,17.655365,38.24441,9588533,710236800,32.52455,32890943,26.88,1265.62
2007,India,5534,61,"1,2,3",3,Yes,Yes,Yes,No,DENV3,"1,028,737,000",1028.737,"10,287",5.379411842,0.059296011,0.537941184,1.1,61 (1.1),1190676028,22.773,2.775,56782411,512206548,232533534,256977338,132163320,59.876335,52.251877,7.62446,109.16928,65.7884,2.775,0.55,3870.699,355789232,833902577,125.555,70.81673,2.38698,2.3,55.16824,64,0.052126724,1.1695087,72.34071,0.5561975,1213120000,18.479395,37.746536,9588533,681710300,35.787586,46992826,27.12,891.21
2008,India,12419,93,"1,2,3",3,Yes,Yes,Yes,No,DENV3,"1,028,737,000",1028.737,"10,287",12.07208451,0.090402114,1.207208451,0.75,93 (0.75),1207930962,23.054,2.711,58233667,525047430,235193918,258547710,130894520,58.886024,51.22613,7.659892,109.22124,66.149,2.711,0.557,4030.6543,364989009,841745797,130.35776,69.14794,2.38698,2.4,55.16824,70,-0.1791873,1.2330484,74.11849,0.5561975,1756010000,17.22543,37.255524,9588533,652069900,39.88901,52854988,26.87,859.57
2009,India,15535,96,"1,2,3",3,Yes,Yes,Yes,No,DENV3,"1,028,737,000",1028.737,"10,287",15.10104137,0.093318312,1.510104137,0.62,96 (0.62),1225524760,23.342,2.674,59767722,538379217,237679640,259801366,129882280,57.914597,50.213158,7.701442,109.30046,66.5132,2.674,0.562,4270.708,374274816,849365344,138.07858,66.75775,2.38698,2.5,55.16824,74,0.5378151,1.3155314,75,0.5561975,1887640000,15.953367,36.770943,9588533,621432700,43.768536,62650376,27.86,891.21
2010,India,28292,110,"1,2,3",3,Yes,Yes,Yes,No,DENV1,"1,028,737,000",1028.737,"10,287",27.5016841,0.106927232,2.75016841,0.39,110 (0.39),1243481564,23.641,2.598,61418191,552192971,240118486,260634504,129102058,56.941593,49.18982,7.751774,109.40848,66.9086,2.598,0.572,4525.7456,383721793,856891827,140.62724,65.18477,4.61673,2.7,55.16824,79,0.4925283,1.348904,76.3,0.5561975,2592330000,16.895435,36.292664,13221963,589913500,48.810547,93046022,27.63,1276.17
2011,India,18869,169,"1,2,3",3,Yes,Yes,Yes,No,DENV1,"1,210,854,977",1210.854977,"12,109",15.5832039,0.139570802,1.55832039,0.9,169 (0.9),1261224952,23.949,2.532,63201477,566234412,242306996,260987662,128478172,55.98567,48.16894,7.816727,109.41827,67.359,2.532,0.586,4768,393333604,864287587,145.02928,62.2249,4.61673,2.9,55.05154,82,-0.15502739,1.3992052,79.516785,0.5561975,2921379800,17.419283,35.417618,13221963,557494800,57.099316,126642456,26.73,838.48
2012,India,50222,242,"1,2,3",3,Yes,Yes,Yes,No,DENV1,"1,210,854,977",1210.854977,"12,109",41.47647815,0.199858781,4.147647815,0.48,242 (0.48),1278674506,24.265,2.47,65110649,580347570,244284096,260943342,127971644,55.05799,47.162266,7.8957253,109.25307,67.8872,2.47,0.594,4982.083,403171286,871315929,160.73932,63.000137,4.61673,3,55.71659,82,-0.04545498,1.5060124,79.9,0.6263728,1423750000,17.101084,34.554714,13221963,524068130,61.00198,141468081,27.05,1038.87
2013,India,75808,193,"1,2,3,4",4,Yes,Yes,Yes,Yes,DENV2,"1,210,854,977",1210.854977,"12,109",62.60700203,0.159391507,6.260700203,0.25,193 (0.25),1295829506,24.588,2.399,67139704,594472806,246222460,260638676,127337544,54.13566,46.14945,7.986212,109.070244,68.4598,2.399,0.6,5224.1445,413200994,877931069,188.1068,69.07304,4.61673,3.2,58.2048,83,-0.23287964,1.53963,83.13139,0.6278591,2273710000,17.460844,34.702435,13221963,489638080,64.113785,158809242,26.7,1386.91
2014,India,40571,137,"1,2,3,4",4,Yes,Yes,Yes,Yes,DENV2,"1,210,854,977",1210.854977,"12,109",33.50607692,0.113143194,3.350607692,0.34,137 (0.34),1312277184,24.925,2.293,69624940,608271534,248070886,260234562,126055628,53.239815,45.109314,8.130503,108.99699,69.0736,2.293,0.611,5524.1147,423338709,883907800,187.75613,67.014,4.61673,3.4,55.88501,85,-0.003477732,1.6371113,85.13391,0.6278591,2805520100,16.340727,34.85026,13221963,454130300,69.86949,176478273,27.27,812.11
2015,India,99913,220,"1,2,3,4",4,Yes,Yes,Yes,Yes,DENV2,"1,210,854,977",1210.854977,"12,109",82.5144232,0.181689801,8.25144232,0.22,220 (0.22),1328024492,25.271,2.289,72611291,621477395,249942872,259500766,124470968,52.39527,44.06275,8.332522,108.96688,69.6363,2.289,0.619,5869.8467,433595954,889270551,194.60916,64.66441,4.95978,3.6,55.47851,87,0.2752069,1.6823632,88,0.6278591,3334400000,16.82615,34.981842,15885657,417624100,73.92104,197107112,27.12,1139.06
2016,India,129166,245,"1,2,3,4",4,Yes,Yes,Yes,Yes,DENV2,"1,210,854,977",1210.854977,"12,109",106.6733857,0.202336369,10.66733857,0.19,245 (0.19),1343944293,25.613,2.284,75798704,634610111,252031816,258260508,123220138,51.5743,43.025333,8.5489645,108.83851,70.1167,2.284,0.63,6326.0645,444186310,894450030,202.48814,63.206203,4.95978,3.8,52.99866,88,0.6567257,1.7520503,89.5863,0.6278591,2691310000,17.367844,35.145275,15885657,380367200,80.0763,220874988,27.24,1128.52
2017,India,188401,325,"1,2,3,4",4,Yes,Yes,Yes,Yes,DENV2,"1,210,854,977",1210.854977,"12,109",155.5933647,0.268405388,15.55933647,0.17,325 (0.17),1359657392,25.961,2.193,79170929,647727886,254097816,256774658,121860998,50.76442,41.98546,8.778961,108.633995,70.4672,2.193,0.636,6638.7275,455009748,899185932,179.4488,55.112476,4.95978,3.8,51.30151,89,0.5180332,1.7847193,91.79416,0.6278591,3116889900,17.552008,35.257694,15885657,343685400,83.07881,246463630,27.4,827.93
2018,India,101192,172,"1,2,3,4",4,Yes,Yes,Yes,Yes,DENV2,"1,210,854,977",1210.854977,"12,109",83.57070163,0.14204839,8.357070163,0.17,172 (0.17),1374659068,26.313,2.184,82716823,660473822,255777476,255154938,120508534,50.027794,41.00005,9.027744,108.39999,70.7095,2.184,0.636,7046.4365,465871825,903131481,188.66125,53.229946,4.95978,3.8,55.47787,90,0.32134342,1.886328,95.7,0.6278591,2270890000,17.02165,35.34342,15885657,307433920,93.15351,274913663,27.26,943.95
2019,India,157315,166,"1,2,3,4",4,Yes,Yes,Yes,Yes,DENV2,"1,210,854,977",1210.854977,"12,109",129.9205958,0.137093214,12.99205958,0.11,166 (0.11),1389030303,26.668,2.12,86415820,672865132,257010136,253093548,119615562,49.374893,40.081623,9.29327,108.17411,70.9098,2.12,0.638,7293.9897,476786386,906325664,200.7363,53.37988,4.92498,3.8,50.17359,91,0.2844162,1.8810879,95.88594,0.6278591,2286490000,16.978771,35.437733,15885657,270649700,93.66553,406634942,27.26,1038.87
2020,India,44585,56,"1,2,3,4",4,Yes,Yes,Yes,Yes,DENV2,"1,210,854,977",1210.854977,"12,109",36.82108993,0.046248313,3.682108993,0.13,56 (0.13),1402617692,27.024,2.047,89973922,685197443,257891452,250944246,118580632,48.722744,39.1824,9.540343,107.949715,70.1499,2.047,0.638,6730.547,487702168,908684959,190.73825,50.59218,4.92498,3.8,50.17359,85,-0.003114859,1.726452,96.5,0.6278591,1654520000,16.176228,35.245132,17869492,233385900,106.85621,600446441,26.16,1102.15
2021,India,193245,346,"1,2,3,4",4,Yes,Yes,Yes,Yes,DENV2,"1,407,563,842",1407.563842,"14,076",137.2903979,0.245814783,13.72903979,0.18,346 (0.18),1414203889,27.348,2.014,92545299,696885985,258395278,249266618,117085180,48.037903,38.35015,9.687754,107.7155,67.2398,2.014,0.633,7315.1216,498179071,909384771,190.73825,50.59218,4.92498,3.8,50.17359,85,0.094714165,1.8909733,99.572525,0.6278591,2707740000,17.6451,36.00571,17869492,195550240,106.85621,600446441,26.64,1201.35
2022,India,233251,303,"1,2,3,4",4,Yes,Yes,Yes,Yes,DENV2,"1,407,563,842",1407.563842,"14,076",165.7125546,0.215265547,16.57125546,0.13,303 (0.13),1425423212,27.684,1.994,95464582,708319096,258307374,247538108,115769540,47.46117,37.585114,9.876057,107.49813,67.2398,1.994,0.644,7765.593,508368361,908804812,190.73825,50.59218,4.92498,3.8,50.17359,85,0.27105442,1.9861934,99.572525,0.6336182,2816610000,17.050694,37.115875,17869492,157394430,106.85621,600446441,26.64,1580.33
2023,India,94198,91,"1,2,3,4",4,Yes,Yes,Yes,Yes,DENV2,"1,407,563,842",1407.563842,"14,076",66.92271937,0.064650709,6.692271937,0.1,91 (0.1),1438069597,28.06,1.975,99512179,720314432,257876244,245673340,114664658,47.01028,36.837193,10.173086,107.284874,67.2398,1.975,0.644,7765.593,508368361,908804812,190.73825,50.59218,4.92498,3.8,50.17359,85,0.27688804,2.129469,99.572525,0.6336182,2816610000,17.050694,37.115875,17869492,157394430,106.85621,600446441,26.64,1580.33
2000,Maldives,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,282025,17.713,2.691,10611,96764,61284,81560,31801,78.43946,71.72568,6.7137833,108.13658,70.8759,2.691,0.635,13564.347,78271,204236,809.66425,62.994312,1.74565,2.6,13.38913,98,-0.020336827,1.597986,83.8,0.6336182,23320000,10.747376,52.181534,1216,66245.164,1.7697862,6226,27.46,1297.27
2001,Maldives,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,286780,18.218,2.532,11262,99954,64695,80548,30317,74.17415,67.334145,6.840005,107.69231,72.1809,2.532,0.639,12810.9795,82919,204405,596.0121,57.463917,1.74565,2.7,13.38913,98,-0.32772258,1.6098194,87.45767,0.6336182,29990000,10.655671,52.593063,1216,63219.742,17.68002,10394,27.49,1244.53
2002,Maldives,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,291631,18.737,2.425,11947,103286,68099,79130,29166,70.159584,63.18873,6.970855,108.586426,73.2915,2.425,0.642,13508.93,87808,204476,683.6049,51.88086,1.74565,2.9,13.38913,98,0.2872117,2.035339,88.30175,0.6656396,28860000,10.298085,53.01169,1216,60141.348,3.4212246,15631,27.73,1756.05
2003,Maldives,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,296497,19.268,2.342,12656,106813,71345,77284,28398,66.423065,59.319256,7.1038065,110.21567,74.0602,2.342,0.655,15110.916,92889,204337,668.1068,53.809593,1.74565,3.1,13.38913,98,0.31888893,1.7053528,89.14428,0.6656396,20370000,9.420807,53.438553,1216,56980.97,8.1417885,17764,27.78,1439.65
2004,Maldives,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,301414,19.807,2.262,13371,110590,74446,75014,27992,62.89425,55.668087,7.2261615,111.727,73.5379,2.262,0.656,15730.024,98164,203971,790.09076,59.50085,1.74565,3.3,13.38913,96,0.27442482,2.212399,89.99228,0.6656396,30630000,10.489716,53.873077,1216,53741.96,5.527202,19906,27.7,1386.91
2005,Maldives,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,306431,20.35,2.199,14083,114745,77282,72493,27828,59.577038,52.243176,7.3338647,112.448906,74.7506,2.199,0.655,13742.516,103619,203399,821.58136,55.65866,1.36587,3.5,13.38913,98,0.2862148,1.9609504,90.85275,0.6656396,78000000,11.569405,54.314167,2212,50436.734,12.083785,21091,27.82,980.86
2006,Maldives,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,313865,20.919,2.204,14683,120351,80960,69965,27906,55.910507,48.616817,7.2936897,110.286125,75.1296,2.204,0.67,16587.656,109393,205008,950.39233,49.921783,1.36587,3.8,13.38913,98,0.340531,2.3697832,91.732475,0.6656396,38160000,11.756187,54.764328,2212,47593.88,14.725948,34700,27.64,1940.62
2007,Maldives,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,324488,21.517,2.293,15114,127946,85662,67366,28400,51.90817,44.832592,7.0755777,107.77778,75.6858,2.293,0.67,17183.107,114444,210682,1049.0122,47.22499,1.36587,4.1,13.38913,98,0.613676,2.4051182,92.63305,0.6656396,30070000,12.147606,55.22111,2212,45466.664,14.855368,52997,27.74,1998.63
2008,Maldives,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,336178,22.136,2.371,15468,136922,89719,64717,29352,48.33062,41.50573,6.8248906,108.41896,76.5428,2.371,0.682,18072.59,119964,216919,1560.6578,33.100243,1.36587,4.4,13.38913,98,-0.101040564,2.5067673,93.550835,0.6656396,48200000,11.578911,55.687668,2212,43253.633,2.7308617,78158,27.66,1487.11
2009,Maldives,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,348282,22.767,2.39,15769,147134,92398,62350,30631,45.40103,38.81778,6.583254,109.96509,77.0689,2.39,0.684,16020.293,125727,223310,1238.9199,34.3166,1.36587,4.7,13.38913,98,-0.03549389,2.5353708,99.9,0.5784953,20090000,9.100599,56.162674,2212,40850.152,8.451754,86562,27.87,1618.95
2010,Maldives,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,360801,23.412,2.349,16039,158602,93566,60459,32135,43.079613,36.71917,6.360442,111.6066,77.6573,2.349,0.692,16521.861,131736,229839,1091.3834,40.079784,1.55865,5.1,13.38913,96,-0.92727596,2.5895715,98.99599,0.5784953,77850000,8.847535,56.27636,3543,38244.27,9.01601,95927,28.01,1756.05
2011,Maldives,2909,0,1,1,Yes,No,No,No,DENV1,"407,660",0.40766,4.0766,7135.848501,0,713.5848501,0,0,373682,24.069,2.307,16282,171274,93216,59166,33743,41.283604,35.127605,6.155998,113.34324,78.1245,2.307,0.701,17321.91,137977,236463,1090.2872,39.687298,1.55865,5.5,12.37565,96,0.17777312,2.6375794,99.0954,0.5784953,46390000,12.078152,56.41334,3543,35421.395,19.762318,127313,27.75,1534.57
2012,Maldives,1083,0,,0,No,No,No,No,,"407,660",0.40766,4.0766,2656.625619,0,265.6625619,0,0,386822,24.739,2.254,16494,184999,91431,58664,35232,39.934162,33.96737,5.9667907,115.42522,78.6822,2.254,0.708,17132.03,144424,243115,1217.0865,32.188293,1.55865,5.9,13.26983,99,-0.33390495,2.8700333,99.21105,0.5784953,53800000,17.322695,56.573784,3543,32366.096,20.848814,150874,27.86,1898.44
2013,Maldives,681,0,,0,No,No,No,No,,"407,660",0.40766,4.0766,1670.509739,0,167.0509739,0,0,400079,25.43,2.174,16713,199533,88408,59060,36363,38.944088,33.139774,5.804314,116.94567,79.0566,2.174,0.715,17721.852,151014,249714,1249.5282,32.28969,1.55865,6.3,13.66561,99,-0.5762476,2.729141,99.35918,0.5784953,20050000,19.463598,56.754055,3543,29065.498,17.567455,176727,27.77,1945.9
2014,Maldives,775,0,1,0,Yes,No,No,No,DENV1,"407,660",0.40766,4.0766,1901.094049,0,190.1094049,0,0,413623,26.094,2.089,16955,214208,85139,60323,36996,38.174427,32.51043,5.6639953,115.55164,79.424,2.089,0.723,18370.41,158802,257936,1321.1238,28.11689,1.55865,6.8,12.0814,99,0.55096495,3.1801326,100,0.5784953,20990000,19.307331,56.956352,3543,25687.578,14.085318,205372,27.74,1497.66
